-120.9447,41.1936,50.4
-122.3167,37.7333,60.3
-116.7775,32.8358,63.2
-120.5644,41.4914,46.4
-120.5528,41.4931,47.2
-117.8425,33.8647,67.1
-122.4406,38.5731,57.8
-121.7458,37.9856,61.5
-124.1086,40.9781,51.1
-118.8253,36.4914,62.7
-119.5128,37.0919,61
-121.0839,38.9072,60.9
-116.0628,35.2761,70.5
-119.0508,35.4186,64
-119.0542,35.4344,65.2
-119.0883,36.9092,62.1
-117.0219,34.8928,65.2
-116.9814,33.9286,63.6
-122.0797,37.0856,58.6
-122.2606,37.8744,58.1
-123.2078,40.7406,57
-116.9039,34.2442,47.7
-119.2419,37.2064,53.2
-121.7803,36.2472,57.6
-118.3581,37.3711,56.6
-120.7103,39.2775,51.8
-114.7142,33.6186,73.6
-114.5972,33.6131,73
-120.0936,39.3886,43.1
-123.0747,38.3208,53.6
-119.0142,38.2119,37.8
-116.4144,33.2314,72.4
-120.6556,39.4539,50.4
-115.5581,32.9544,72.9
-119.2286,38.2575,43
-118.3481,34.1867,64.1
-121.6547,40.8803,47.7
-119.4731,35.4047,63.8
-119.9808,34.5825,61.7
-120.3114,38.2769,49.5
-122.6014,38.5961,59.7
-122.8045,41.3111,50.3
-119.0833,34.2167,60.5
-120.8433,38.2486,61.7
-117.3500,33.3000,61.9
-116.4728,32.6233,59.1
-120.9017,41.4219,46.9
-118.5744,34.1819,64.3
-121.0883,40.1703,48.2
-117.2794,33.1281,61.8
-121.7244,36.4806,58.3
-123.1392,41.1417,52.3
-120.1803,41.5306,48.7
-119.9161,37.9747,53.5
-121.2422,40.3033,46.9
-121.8211,39.6911,61.2
-117.6931,35.6875,64.5
-117.6361,33.9753,63.6
-115.7206,33.6617,69.2
-119.0114,34.8078,51.6
-117.0858,32.6400,63.5
-122.5672,38.9239,56.9
-123.0175,38.8000,61.4
-120.3606,36.1356,64.8
-120.9481,39.0911,56.9
-122.0269,39.1875,61.5
-122.0550,37.9917,60.6
-122.0692,37.9833,61.7
-119.5817,36.0975,63.1
-123.2444,39.8158,56.4
-124.2147,41.7958,52
-124.2333,41.7833,51.7
-118.4136,34.0053,63.2
-116.5872,32.9897,52.7
-116.7858,34.8536,67.4
-121.7761,38.5350,61.2
-121.6108,39.8717,56.6
-116.8669,36.4622,77.2
-117.9803,37.3739,53.4
-120.8333,39.3000,54.6
-115.3925,33.7378,72.8
-121.2011,39.3575,58.2
-120.2331,39.3239,44
-120.8239,39.5633,53.3
-120.0828,39.9717,50.3
-122.2736,41.1833,54.4
-115.4508,33.8089,73.5
-122.5178,39.3592,58.5
-120.0333,38.7833,44.1
-117.8647,34.9883,62.4
-116.9750,32.8139,65.3
-116.8164,32.8839,65
-115.5617,32.7669,73.9
-115.6833,32.8167,73.7
-117.6303,34.5892,60.4
-117.7333,33.6667,63.5
-120.6706,38.3306,59.9
-117.3319,33.6692,65.4
-117.0883,33.1211,65.1
-124.1603,40.8097,52.9
-122.0678,38.2736,61
-118.4242,34.7050,60.7
-117.1903,33.4392,64.7
-120.1561,36.3642,63.6
-121.1667,38.7000,62.4
-122.0158,37.5422,59.6
-119.7003,36.7667,64.2
-119.7194,36.7800,64.4
-119.7072,36.9969,63.2
-120.0900,41.5200,48.2
-123.7567,39.5092,51.4
-123.2447,38.5150,54.2
-117.9789,33.8719,65.1
-120.8008,38.9331,58
-118.4794,34.0869,64.2
-121.5633,37.0067,60.7
-118.7006,35.7269,54.3
-114.8667,32.8833,75.3
-118.9631,36.7394,47.4
-121.0681,39.2042,55.7
